Date,RH,warnings
2022-02-02 06:45:00,78.19682,0.0
2022-02-02 07:00:00,78.45417,0.0
2022-02-02 07:15:00,77.54218,0.0
2022-02-02 07:30:00,74.16176,0.0
2022-02-02 07:45:00,74.6834,0.0
2022-02-02 08:00:00,74.36557,0.0
2022-02-02 08:15:00,72.30273,0.0
2022-02-02 08:30:00,69.98083,0.0
2022-02-02 08:45:00,70.47999,0.0
2022-02-02 09:00:00,69.09986,0.0
2022-02-02 09:15:00,69.5427,0.0
2022-02-02 09:30:00,65.20049,0.0
2022-02-02 09:45:00,66.74105,0.0
2022-02-02 10:00:00,61.00567,0.0
2022-02-02 10:15:00,59.69149,0.0
2022-02-02 10:30:00,57.39113,0.0
2022-02-02 10:45:00,55.36177,0.0
2022-02-02 11:00:00,54.8223,0.0
2022-02-02 11:15:00,55.0178,0.0
2022-02-02 11:30:00,53.98859,0.0
2022-02-02 11:45:00,56.66467,0.0
2022-02-02 12:00:00,54.57718,0.0
2022-02-02 12:15:00,54.33809,0.0
2022-02-02 12:30:00,54.19572,0.0
2022-02-02 12:45:00,54.00021,0.0
2022-02-02 13:00:00,51.90778,0.0
2022-02-02 13:15:00,50.13885,0.0
2022-02-02 13:30:00,50.98774,0.0
2022-02-02 13:45:00,51.37826,0.0
2022-02-02 14:00:00,50.07388,0.0
2022-02-02 14:15:00,51.33045,0.0
2022-02-02 14:30:00,49.13597,0.0
2022-02-02 14:45:00,52.4445,0.0
2022-02-02 15:00:00,51.08769,0.0
2022-02-02 15:15:00,50.29159,0.0
2022-02-02 15:30:00,50.01777,0.0
2022-02-02 15:45:00,52.17155,0.0
2022-02-02 16:00:00,51.83827,0.0
2022-02-02 16:15:00,52.16239,0.0
2022-02-02 16:30:00,53.78653,0.0
2022-02-02 16:45:00,56.45192,0.0
2022-02-02 17:00:00,60.23132,0.0
2022-02-02 17:15:00,61.62178,0.0
2022-02-02 17:30:00,62.52614,0.0
2022-02-02 17:45:00,62.92421,0.0
2022-02-02 18:00:00,63.24417,0.0
2022-02-02 18:15:00,63.10163,0.0
2022-02-02 18:30:00,63.22094,0.0
2022-02-02 18:45:00,64.19452,0.0
2022-02-02 19:00:00,63.35087,0.0
2022-02-02 19:15:00,63.80146,0.0
2022-02-02 19:30:00,63.21449,0.0
2022-02-02 19:45:00,62.04826,0.0
2022-02-02 20:00:00,62.04841,0.0
2022-02-02 20:15:00,64.20829,0.0
2022-02-02 20:30:00,62.9146,0.0
2022-02-02 20:45:00,62.78108,0.0
2022-02-02 21:00:00,62.90588,0.0
2022-02-02 21:15:00,62.31249,0.0
2022-02-02 21:30:00,62.55225,0.0
2022-02-02 21:45:00,63.6072,0.0
2022-02-02 22:00:00,63.80061,0.0
2022-02-02 22:15:00,65.03641,0.0
2022-02-02 22:30:00,67.05491,0.0
2022-02-02 22:45:00,68.50204,0.0
2022-02-02 23:00:00,68.75504,0.0
